SN,absmag,band,error,jd,mag,normmag,survey,trel
PS1-11qr,21.1,i,0.34,55681.3,24.01,2.620000000000001,PS1,27.0
PS1-11qr,-16.7,z,,55631.3,23.35,1.5700000000000005,PS1,-21.09999999999855
PS1-11qr,-14.4,z,,55634.3,23.41,1.629999999999999,PS1,-18.09999999999855
PS1-11qr,-5.4,z,,55646.3,23.28,1.5,PS1,-6.099999999998545
PS1-11qr,-3.0,z,0.2,55649.4,22.22,0.4399999999999977,PS1,-3.0
PS1-11qr,-0.7,z,0.17,55652.4,21.78,0.0,PS1,0.0
PS1-11qr,15.0,z,0.26,55673.3,22.92,1.1400000000000006,PS1,20.90000000000145
PS1-11qr,17.3,z,,55676.3,22.86,1.0799999999999983,PS1,23.900000000001448
PS1-10ah,-19.5,g,,55230.5,22.38,2.43,PS1,-20.90000000000145
PS1-10ah,-16.7,g,,55233.5,22.6,2.650000000000002,PS1,-17.90000000000145
PS1-10ah,-13.8,g,,55236.6,22.4,2.4499999999999997,PS1,-14.80000000000291
PS1-10ah,-11.1,g,,55239.5,22.75,2.8000000000000007,PS1,-11.900000000001455
PS1-10ah,-8.3,g,,55242.5,22.7,2.75,PS1,-8.900000000001455
PS1-10ah,-2.7,g,0.22,55248.5,22.18,2.2300000000000004,PS1,-2.9000000000014547
PS1-10ah,0.0,g,0.05,55251.4,19.95,0.0,PS1,0.0
PS1-10ah,14.1,g,0.17,55266.5,21.64,1.6900000000000013,PS1,15.099999999998545
PS1-10ah,27.8,g,,55281.3,22.02,2.0700000000000003,PS1,29.900000000001448
PS1-10ah,39.1,g,,55293.4,22.26,2.3100000000000023,PS1,42.0
PS1-10ah,50.2,g,,55305.3,22.58,2.629999999999999,PS1,53.90000000000146
PS1-10ah,64.2,g,,55320.4,22.56,2.6099999999999994,PS1,69.0
PS1-10ah,69.7,g,,55326.3,22.82,2.870000000000001,PS1,74.90000000000146
PS1-10ah,72.6,g,,55329.3,22.7,2.75,PS1,77.90000000000146
PS1-10ah,75.3,g,,55332.3,22.73,2.780000000000001,PS1,80.90000000000146
PS1-10ah,80.9,g,,55338.3,21.73,1.7800000000000011,PS1,86.90000000000146
PS1-10ah,92.0,g,,55350.3,22.74,2.7899999999999987,PS1,98.90000000000146
PS1-10ah,94.9,g,,55353.3,22.75,2.8000000000000007,PS1,101.90000000000146
PS1-10ah,-19.5,r,,55230.5,22.43,2.2800000000000007,PS1,-20.90000000000145
PS1-10ah,-16.7,r,,55233.5,22.94,2.7900000000000027,PS1,-17.90000000000145
PS1-10ah,-13.8,r,,55236.6,22.98,2.830000000000002,PS1,-14.80000000000291
PS1-10ah,-11.1,r,,55239.5,23.27,3.120000000000001,PS1,-11.900000000001455
PS1-10ah,-8.3,r,,55242.5,23.28,3.1300000000000026,PS1,-8.900000000001455
PS1-10ah,-2.7,r,0.12,55248.5,22.17,2.020000000000003,PS1,-2.9000000000014547
PS1-10ah,0.0,r,0.04,55251.4,20.15,0.0,PS1,0.0
PS1-10ah,14.1,r,0.16,55266.5,21.59,1.4400000000000013,PS1,15.099999999998545
PS1-10ah,22.4,r,0.07,55275.5,21.4,1.25,PS1,24.099999999998545
PS1-10ah,27.8,r,0.28,55281.3,22.04,1.8900000000000008,PS1,29.900000000001448
PS1-10ah,50.2,r,,55305.3,22.99,2.84,PS1,53.90000000000146
PS1-10ah,64.2,r,,55320.4,22.91,2.7600000000000016,PS1,69.0
PS1-10ah,69.7,r,0.35,55326.3,23.19,3.0400000000000027,PS1,74.90000000000146
PS1-10ah,72.6,r,,55329.3,22.85,2.700000000000003,PS1,77.90000000000146
PS1-10ah,92.1,r,,55350.3,23.04,2.890000000000001,PS1,98.90000000000146
PS1-10ah,-18.6,i,,55231.5,22.91,2.3500000000000014,PS1,-18.0
PS1-10ah,-15.7,i,,55234.5,23.18,2.620000000000001,PS1,-15.0
PS1-10ah,-10.2,i,,55240.5,23.07,2.5100000000000016,PS1,-9.0
PS1-10ah,-7.5,i,,55243.4,23.06,2.5,PS1,-6.099999999998545
PS1-10ah,-4.6,i,,55246.4,23.08,2.52,PS1,-3.0999999999985453
PS1-10ah,-1.8,i,0.05,55249.5,20.56,0.0,PS1,0.0
PS1-10ah,1.0,i,0.05,55252.5,20.66,0.10000000000000142,PS1,3.0
PS1-10ah,12.2,i,0.12,55264.5,21.58,1.0199999999999996,PS1,15.0
PS1-10ah,34.5,i,0.16,55288.4,21.87,1.3100000000000025,PS1,38.900000000001455
PS1-10ah,73.4,i,0.27,55330.3,22.65,2.09,PS1,80.80000000000291
PS1-10ah,81.8,i,,55339.3,21.94,1.3800000000000026,PS1,89.8000000000029
PS1-10ah,90.2,i,,55348.3,22.99,2.43,PS1,98.80000000000292
PS1-10ah,-14.8,z,,55235.6,22.71,2.3100000000000023,PS1,-15.0
PS1-10ah,-12.0,z,,55238.5,22.87,2.4700000000000024,PS1,-12.099999999998545
PS1-10ah,-9.3,z,,55241.4,22.75,2.3500000000000014,PS1,-9.19999999999709
PS1-10ah,-0.8,z,0.04,55250.6,20.4,0.0,PS1,0.0
PS1-10ah,7.5,z,0.15,55259.5,21.5,1.1000000000000014,PS1,8.900000000001455
PS1-10ah,26.9,z,0.16,55280.3,21.71,1.3100000000000025,PS1,29.700000000004373
PS1-10ah,43.7,z,0.23,55298.4,22.15,1.75,PS1,47.80000000000291
PS1-10ah,49.2,z,0.22,55304.3,22.28,1.8800000000000023,PS1,53.700000000004366
PS1-10ah,77.2,z,,55334.3,22.91,2.5100000000000016,PS1,83.70000000000438
PS1-10ah,93.9,z,,55352.3,22.88,2.4800000000000004,PS1,101.70000000000437
PS1-12bv,-1.4,g,0.05,55947.6,21.78,0.08999999999999986,PS1,-2.0
PS1-12bv,0.0,g,0.05,55949.6,21.69,0.0,PS1,0.0
PS1-12bv,2.1,g,0.04,55952.6,21.8,0.10999999999999943,PS1,3.0
PS1-12bv,4.3,g,0.07,55955.7,22.03,0.33999999999999986,PS1,6.099999999998545
PS1-12bv,14.9,g,,55970.6,23.31,1.6199999999999974,PS1,21.0
PS1-12bv,17.1,g,,55973.6,23.5,1.8099999999999987,PS1,24.0
PS1-12bv,22.7,g,,55981.6,24.06,2.369999999999997,PS1,32.0
PS1-12bv,24.9,g,,55984.6,24.24,2.549999999999997,PS1,35.0
PS1-12bv,36.2,g,,56000.5,23.86,2.1699999999999977,PS1,50.90000000000146
PS1-12bv,40.5,g,,56006.5,24.02,2.3299999999999983,PS1,56.90000000000146
PS1-12bv,-1.4,r,0.05,55947.6,21.87,0.0,PS1,0.0
PS1-12bv,2.1,r,0.05,55952.6,22.01,0.14000000000000054,PS1,5.0
PS1-12bv,15.0,r,,55970.6,23.41,1.5399999999999991,PS1,23.0
PS1-12bv,17.1,r,,55973.6,23.49,1.6199999999999974,PS1,26.0
PS1-12bv,19.9,r,,55977.6,22.87,1.0,PS1,30.0
PS1-12bv,22.8,r,,55981.6,23.58,1.7099999999999973,PS1,34.0
PS1-12bv,24.9,r,,55984.6,23.99,2.119999999999997,PS1,37.0
PS1-12bv,36.2,r,,56000.5,24.21,2.34,PS1,52.90000000000146
PS1-12bv,40.5,r,,56006.5,23.68,1.8099999999999987,PS1,58.90000000000146
PS1-12bv,-7.1,i,,55939.6,23.56,1.4800000000000004,PS1,-9.0
PS1-12bv,-2.8,i,0.06,55945.6,22.53,0.4500000000000029,PS1,-3.0
PS1-12bv,-0.7,i,0.06,55948.6,22.08,0.0,PS1,0.0
PS1-12bv,5.0,i,0.06,55956.6,22.34,0.2600000000000016,PS1,8.0
PS1-12bv,7.8,i,0.1,55960.7,22.91,0.8300000000000018,PS1,12.099999999998545
PS1-12bv,13.5,i,0.23,55968.6,23.66,1.5800000000000018,PS1,20.0
PS1-12bv,15.7,i,0.3,55971.6,23.76,1.6800000000000033,PS1,23.0
PS1-12bv,19.9,i,,55977.6,23.12,1.0400000000000027,PS1,29.0
PS1-12bv,21.3,i,,55979.6,23.59,1.5100000000000016,PS1,31.0
PS1-12bv,25.6,i,,55985.6,24.18,2.1000000000000014,PS1,37.0
PS1-12bv,34.8,i,,55998.5,23.59,1.5100000000000016,PS1,49.90000000000146
PS1-12bv,37.0,i,,56001.6,23.66,1.5800000000000018,PS1,53.0
PS1-12bv,41.2,i,,56007.5,23.86,1.7800000000000011,PS1,58.90000000000146
PS1-12bv,-10.0,z,,55935.6,23.83,1.7099999999999973,PS1,-14.0
PS1-12bv,-6.4,z,,55940.6,23.0,0.879999999999999,PS1,-9.0
PS1-12bv,-2.1,z,0.18,55946.7,22.57,0.4499999999999993,PS1,-2.9000000000014547
PS1-12bv,0.0,z,0.11,55949.6,22.12,0.0,PS1,0.0
PS1-12bv,1.4,z,0.08,55951.6,22.19,0.07000000000000027,PS1,2.0
PS1-12bv,3.6,z,0.08,55954.6,22.24,0.11999999999999746,PS1,5.0
PS1-12bv,5.7,z,0.09,55957.6,22.73,0.6099999999999994,PS1,8.0
PS1-12bv,7.1,z,0.22,55959.6,22.62,0.5,PS1,10.0
PS1-12bv,8.6,z,0.23,55961.7,22.8,0.6799999999999997,PS1,12.099999999998545
PS1-12bv,12.7,z,,55967.5,23.45,1.3299999999999983,PS1,17.90000000000145
PS1-12bv,14.2,z,,55969.6,23.03,0.91,PS1,20.0
PS1-12bv,18.5,z,,55975.6,22.22,0.09999999999999787,PS1,26.0
PS1-12bv,24.2,z,,55983.6,22.65,0.5299999999999976,PS1,34.0
PS1-12bv,27.7,z,,55988.6,23.39,1.2699999999999996,PS1,39.0
PS1-12bv,34.1,z,,55997.5,22.96,0.8399999999999999,PS1,47.90000000000146
PS1-12bv,37.7,z,,56002.6,23.35,1.2300000000000004,PS1,53.0
PS1-12bv,39.8,z,,56005.6,23.44,1.3200000000000005,PS1,56.0
PS1-13bit,,g,0.29,56416.5,23.83,1.6199999999999974,PS1,-5.0
PS1-13bit,,g,0.06,56421.5,22.21,0.0,PS1,0.0
PS1-13bit,,g,0.07,56424.5,22.27,0.05999999999999873,PS1,3.0
PS1-13bit,,g,0.11,56427.5,22.42,0.21000000000000085,PS1,6.0
PS1-13bit,,g,,56443.5,23.56,1.349999999999998,PS1,22.0
PS1-13bit,,g,,56451.5,23.8,1.59,PS1,30.0
PS1-13bit,,g,,56460.5,24.0,1.7899999999999991,PS1,39.0
PS1-13bit,,r,0.21,56416.6,23.73,1.370000000000001,PS1,-4.0
PS1-13bit,,r,0.06,56420.6,22.36,0.0,PS1,0.0
PS1-13bit,,r,0.08,56424.6,22.39,0.030000000000001137,PS1,4.0
PS1-13bit,,r,0.15,56427.5,22.75,0.39000000000000057,PS1,6.900000000001455
PS1-13bit,,r,,56443.5,23.89,1.5300000000000011,PS1,22.900000000001448
PS1-13bit,,r,,56450.5,23.51,1.150000000000002,PS1,29.900000000001448
PS1-13bit,,r,,56460.5,23.61,1.25,PS1,39.900000000001455
PS1-13bit,,i,,56411.5,24.0,1.6099999999999994,PS1,-11.0
PS1-13bit,,i,,56414.5,24.07,1.6799999999999995,PS1,-8.0
PS1-13bit,,i,0.26,56417.6,23.03,0.6400000000000006,PS1,-4.900000000001455
PS1-13bit,,i,0.08,56420.5,22.69,0.3000000000000007,PS1,-2.0
PS1-13bit,,i,0.08,56422.5,22.39,0.0,PS1,0.0
PS1-13bit,,i,0.12,56428.5,22.83,0.4399999999999977,PS1,6.0
PS1-13bit,,i,0.1,56432.5,22.93,0.5399999999999991,PS1,10.0
PS1-13bit,,i,,56447.5,23.93,1.5399999999999991,PS1,25.0
PS1-13bit,,i,,56450.5,23.74,1.349999999999998,PS1,28.0
PS1-13bit,,i,,56452.4,23.86,1.4699999999999989,PS1,29.900000000001448
PS1-13bit,,i,0.31,56455.4,24.17,1.7800000000000011,PS1,32.90000000000145
PS1-13bit,,i,,56458.4,23.67,1.2800000000000011,PS1,35.900000000001455
PS1-13bit,,i,,56462.4,24.24,1.8499999999999976,PS1,39.900000000001455
PS1-13bit,,z,,56412.5,23.33,2.1699999999999977,PS1,-25.0
PS1-13bit,,z,,56415.5,23.56,2.3999999999999986,PS1,-22.0
PS1-13bit,,z,0.13,56421.5,22.66,1.5,PS1,-16.0
PS1-13bit,,z,,56429.4,22.44,1.2800000000000011,PS1,-8.099999999998545
PS1-13bit,,z,,56437.5,21.16,0.0,PS1,0.0
PS1-13bit,,z,,56442.5,23.7,2.539999999999999,PS1,5.0
PS1-13bit,,z,,56453.5,23.32,2.16,PS1,16.0
PS1-13bit,,z,,56459.3,23.5,2.34,PS1,21.80000000000291
PS1-12bb,-5.4,g,,55941.6,23.65,2.3200000000000003,PS1,-6.0
PS1-12bb,0.0,g,0.03,55947.6,21.33,0.0,PS1,0.0
PS1-12bb,1.8,g,0.13,55949.6,21.91,0.5800000000000018,PS1,2.0
PS1-12bb,4.5,g,0.03,55952.6,21.74,0.41000000000000014,PS1,5.0
PS1-12bb,7.3,g,0.11,55955.6,22.32,0.9900000000000021,PS1,8.0
PS1-12bb,20.8,g,,55970.5,23.6,2.270000000000003,PS1,22.900000000001448
PS1-12bb,23.6,g,,55973.5,24.02,2.6900000000000013,PS1,25.900000000001448
PS1-12bb,33.4,g,,55984.3,24.05,2.7200000000000024,PS1,36.700000000004366
PS1-12bb,48.1,g,,56000.5,23.83,2.5,PS1,52.90000000000146
PS1-12bb,-5.4,r,,55941.6,23.8,2.52,PS1,-6.0
PS1-12bb,0.0,r,0.04,55947.6,21.28,0.0,PS1,0.0
PS1-12bb,0.8,r,0.07,55948.4,21.38,0.09999999999999787,PS1,0.8000000000029104
PS1-12bb,4.6,r,0.04,55952.6,21.66,0.37999999999999895,PS1,5.0
PS1-12bb,7.3,r,0.06,55955.6,21.64,0.35999999999999943,PS1,8.0
PS1-12bb,20.9,r,,55970.5,23.87,2.59,PS1,22.900000000001448
PS1-12bb,23.6,r,,55973.5,24.2,2.919999999999998,PS1,25.900000000001448
PS1-12bb,33.4,r,,55984.3,24.07,2.7899999999999987,PS1,36.700000000004366
PS1-12bb,48.1,r,,56000.5,23.77,2.4899999999999984,PS1,52.90000000000146
PS1-12bb,-1.8,i,0.02,55945.5,21.12,0.0,PS1,0.0
PS1-12bb,0.9,i,0.04,55948.5,21.26,0.14000000000000054,PS1,3.0
