event,time,magnitude,e_magnitude,upperlimit,band,system,instrument,telescope,source
GW170817,57983.9782,17.966,0.024,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.97839990001,18.0406133217,0.023977895134540003,F,r,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.9784,17.61,0.06,F,z,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9790,17.61,0.06,F,z,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9790744,18.6643835894,0.02786234183509,F,g,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.9792,17.937,0.024,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9797554,19.939139444000002,0.0548237969632,F,u,AB,DECam,,2017ApJ...848L..17C
GW170817,57983.9798,17.77,0.03,F,i,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.98,17.664,0.064,F,I,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.980,18.61,0.14,F,g,AB,Sinistro,LCO 1m,"2017arXiv171005843A,2017arXiv171011576V"
GW170817,57983.98,17.675,0.134,F,r,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.98,17.611,0.098,F,z,AB,ROS2,REM,2017arXiv171005858P
GW170817,57983.9804,17.743,0.029,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9806,17.91,0.03,F,r,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9810,17.61,0.04,F,Ks,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57983.9813,17.47,0.01,F,J,AB,FourStar,Magellan,2017Sci...358.1570D
GW170817,57983.9814,18.61,0.03,F,g,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9815,17.803,0.025,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9826,17.809,0.026,F,i,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9829,19.04,0.06,F,B,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.984,18.582,0.031,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9843,19.04,0.07,F,B,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9851,18.547,0.030,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9862,18.607,0.038,F,g,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9874,17.946,0.020,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.9875,18.66,0.03,F,g,AB,LDSS,Magellan,2017Sci...358.1570D
GW170817,57983.9885,17.983,0.024,F,r,AB,,T80S,2017ApJ...848L..29D
GW170817,57983.988519,19.09,0.11,F,B,AB,,CTIO,2017arXiv171005433T
GW170817,57983.988519,17.77,0.09,F,I,AB,,CTIO,2017arXiv171005433T
GW170817,57983.988519,17.94,0.05,F,R,AB,,CTIO,2017arXiv171005433T
GW170817,57983.988519,18.28,0.04,F,V,AB,,CTIO,2017arXiv171005433T
