time-rel               g               r               i               z
  62.872  -16.1760666667  -16.1714365482  -16.0074369369  -15.9541014408
  63.372  -16.1466116505  -16.1511319797  -15.9898412162  -15.9377873302
  63.872  -16.1134401294  -16.1296883469  -15.9722454955  -15.9220121336
  64.372  -16.0802686084  -16.1056368564  -15.9546497748  -15.9074707667
  64.872  -16.0470970874  -16.0815853659  -15.9370540541  -15.8929293998
  65.372  -16.0139255663  -16.0575338753  -15.9194583333  -15.8783880329
  65.872  -15.9810811594  -16.0334823848  -15.9018626126   -15.863846666
  66.372  -15.9504652174  -16.0094308943  -15.8842668919  -15.8493052991
  66.872  -15.9198492754  -15.9860583942  -15.8641939394  -15.8307934286
  67.372  -15.8892333333  -15.9637043796  -15.8439287879  -15.8115165599
  67.872  -15.8586173913   -15.941350365  -15.8236636364  -15.7922396913
  68.372  -15.8280014493  -15.9189963504  -15.8033984848  -15.7729628227
  68.872  -15.8016377953  -15.8966423358  -15.7831333333  -15.7536859541
  69.372   -15.778015748  -15.8742883212  -15.7663053691  -15.7394724749
  69.872  -15.7543937008  -15.8519343066   -15.751344519  -15.7280094787
  70.372  -15.7307716535  -15.8305997732  -15.7363836689  -15.7160641456
  70.872  -15.7071496063  -15.8094829932  -15.7214228188  -15.7040157891
  71.372  -15.6835275591  -15.7883662132  -15.7064619687  -15.6919674325
  71.872  -15.6637184265  -15.7672494331  -15.6915011186   -15.679919076
  72.372  -15.6475434783  -15.7461326531  -15.6765402685  -15.6678707195
  72.872    -15.63136853   -15.725015873  -15.6581050725  -15.6507042345
  73.372  -15.6151935818   -15.703899093  -15.6361394928  -15.6283370707
  73.872  -15.5990186335         -15.693   -15.614173913  -15.6011357148
  74.372  -15.5828436853     -15.6851875  -15.5922083333    -15.57247403
  74.872  -15.5666687371      -15.677375  -15.5718251748  -15.5461434415
  75.372  -15.5504937888     -15.6695625  -15.5696398601  -15.5466204608
  75.872  -15.5411273408       -15.66175  -15.5674545455    -15.54709748
  76.372  -15.5336367041     -15.6539375  -15.5652692308  -15.5475744992
  76.872  -15.5261460674  -15.6473611111  -15.5630839161  -15.5474666896
  77.372  -15.5186554307  -15.6446990741  -15.5608986014  -15.5455069218
  77.872   -15.511164794   -15.642037037  -15.5587132867   -15.543547154
  78.372  -15.5036741573      -15.639375  -15.5564162162  -15.5414227564
  78.872  -15.4961835206   -15.636712963  -15.5537135135   -15.538700814
  79.372  -15.4886928839  -15.6340509259  -15.5510108108  -15.5359788715
  79.872  -15.4822307692  -15.6313888889  -15.5483081081  -15.5332569291
  80.372   -15.479025641  -15.6287268519  -15.5456054054  -15.5305349867
  80.872  -15.4758205128  -15.6260648148  -15.5429027027  -15.5278130442
  81.372  -15.4726153846         -15.625        -15.5402   -15.524335424
  81.872  -15.4694102564         -15.625  -15.5374972973  -15.5203540186
  82.372  -15.4662051282         -15.625  -15.5347945946  -15.5163726132
  82.872         -15.463         -15.625  -15.5334341085   -15.514368454
  83.372  -15.4597948718         -15.625  -15.5347260982  -15.5162717098
  83.872         -15.459         -15.625  -15.5360180879  -15.5181749656
  84.372         -15.459         -15.625  -15.5373100775  -15.5200782214
  84.872         -15.459         -15.625  -15.5386020672  -15.5219814772
  85.372         -15.459         -15.625  -15.5398940568   -15.523884733
  85.872         -15.459         -15.625  -15.5418545455   -15.526772768
  86.372         -15.459         -15.625  -15.5477888889   -15.535514768
  86.872         -15.459         -15.625  -15.5537232323   -15.544256768
  87.372         -15.459         -15.625  -15.5596575758   -15.552998768
  87.872  -15.4601090909         -15.625  -15.5655919192   -15.561740768
  88.372  -15.4612454545         -15.625  -15.5715262626   -15.570482768
  88.872  -15.4623818182         -15.625  -15.5774606061   -15.579224768
  89.372  -15.4635181818         -15.625  -15.5833949495   -15.587966768
  89.872  -15.4646545455  -15.6261391586  -15.5886793249  -15.5952123284
  90.372  -15.4657909091  -15.6326116505  -15.5917120253  -15.5966175947
  90.872  -15.4669272727  -15.6390841424  -15.5947447257  -15.5980228609
  91.372  -15.4680636364  -15.6455566343  -15.5977774262  -15.5994281272
  91.872        -15.4692  -15.6520291262  -15.6008101266  -15.6008333935
  92.372  -15.4703363636  -15.6585016181   -15.603842827  -15.6022386598
  92.872  -15.4728302277    -15.66497411  -15.6068755274   -15.603643926
  93.372  -15.4772298137  -15.6714466019  -15.6099082278  -15.6050491923
  93.872  -15.4816293996  -15.6779190939  -15.6150641711  -15.6095822501
  94.372  -15.4860289855  -15.6843915858  -15.6214144385  -15.6158746906
  94.872  -15.4904285714  -15.6908404908  -15.6277647059  -15.6221782905
  95.372  -15.4948281573  -15.6972310838  -15.6341149733   -15.628509479
  95.872  -15.4992277433  -15.7036216769  -15.6404652406  -15.6348406675
  96.372  -15.5036273292  -15.7100122699   -15.646815508   -15.641171856
  96.872  -15.5096840959   -15.716402863  -15.6531657754  -15.6475030445
  97.372  -15.5164923747   -15.722793456  -15.6595160428   -15.653834233
  97.872  -15.5233006536  -15.7291840491  -15.6658663102  -15.6601654215
  98.372  -15.5301089325  -15.7355746421  -15.6728169643  -15.6673810517
  98.872  -15.5369172113  -15.7414680851  -15.6800714286  -15.6752794424
  99.372  -15.5437254902   -15.746787234  -15.6873258929  -15.6834495431
  99.872  -15.5505337691   -15.752106383  -15.6945803571  -15.6916196438
 100.372   -15.557365353  -15.7574255319  -15.7018348214  -15.6997897445
 100.872  -15.5642413793  -15.7627446809  -15.7097567568  -15.7089431101
 101.372  -15.5711174056  -15.7680638298  -15.7193288288  -15.7205273252
 101.872  -15.5779934319  -15.7733829787  -15.7289009009  -15.7321115402
 102.372  -15.5848694581  -15.7787021277   -15.738472973  -15.7436957553
 102.872  -15.5917454844  -15.7840212766   -15.748045045  -15.7552799704
 103.372  -15.5986215107  -15.7905138889  -15.7576171171  -15.7663089965
 103.872  -15.6054975369        -15.7985  -15.7671891892  -15.7766314184
 104.372  -15.6123735632  -15.8064861111  -15.7767612613  -15.7869538403
 104.872  -15.6192495895  -15.8144722222  -15.7863333333  -15.7972762622
 105.372  -15.6266052632  -15.8224583333  -15.7952736486  -15.8066680306
 105.872  -15.6342807018  -15.8304444444  -15.8032972973   -15.814709439
 106.372  -15.6419561404  -15.8384305556  -15.8113209459  -15.8227508474
 106.872  -15.6496315789  -15.8464166667  -15.8193445946  -15.8307922559
 107.372  -15.6573070175  -15.8544027778  -15.8273682432  -15.8388336643
 107.872  -15.6649824561         -15.856  -15.8353918919  -15.8498977838
 108.372  -15.6728430851         -15.856  -15.8434155405  -15.8617175811
 108.872  -15.6813758865         -15.856  -15.8502587992  -15.8717985222
 109.372  -15.6899086879         -15.856  -15.8543995859   -15.877898398
 109.872  -15.6984414894         -15.856  -15.8585403727  -15.8839982738
 110.372  -15.7069742908         -15.856  -15.8626811594  -15.8900981496
 110.872  -15.7155070922         -15.856  -15.8668219462  -15.8961980253
 111.372  -15.7240398936         -15.856  -15.8709627329  -15.9022979011
 111.872   -15.732572695         -15.856  -15.8751035197  -15.9083977769
 112.372  -15.7411054965         -15.856  -15.8792443064  -15.9144976527
 112.872  -15.7488101266         -15.856  -15.8859756098  -15.9244136702
 113.372  -15.7530295359         -15.856  -15.8946138211  -15.9371387922
 113.872  -15.7572489451         -15.856  -15.9032520325  -15.9498639141
 114.372  -15.7614683544         -15.856  -15.9118902439  -15.9625890361
 114.872  -15.7656877637         -15.856  -15.9205284553   -15.975314158
 115.372   -15.769907173         -15.856  -15.9291666667    -15.98803928
 115.872  -15.7741265823         -15.856   -15.935972973  -15.9980657859
 116.372  -15.7783459916         -15.856  -15.9418851351  -16.0067751103
 116.872  -15.7825654008         -15.856  -15.9477972973  -16.0154844346
 117.372  -15.7867848101         -15.856  -15.9537094595  -16.0241937589
 117.872  -15.7910042194         -15.856  -15.9596216216  -16.0329030832
 118.372  -15.7952236287         -15.856  -15.9655337838  -16.0416124076
 118.872  -15.8017062937         -15.856  -15.9714459459  -16.0503217319
 119.372  -15.8086993007         -15.856  -15.9787945402  -16.0611470931
 119.872  -15.8156923077         -15.856  -15.9872356322  -16.0735818345
 120.372  -15.8226853147         -15.856  -15.9956767241  -16.0860165759
 120.872  -15.8296783217         -15.856  -16.0041178161  -16.0984513172
 121.372  -15.8366713287         -15.856   -16.012558908  -16.1108860586
 121.872  -15.8436643357         -15.856         -16.021     -16.1233208
 122.372  -15.8491056106         -15.856  -16.0250650407  -16.1293090927
 122.872  -15.8544686469         -15.856  -16.0291300813  -16.1352973854
 123.372  -15.8598316832         -15.856   -16.033195122   -16.141285678
 123.872  -15.8651947195         -15.856  -16.0372601626  -16.1472739707
 124.372  -15.8705577558         -15.856  -16.0413252033  -16.1532622634
 124.872  -15.8759207921         -15.856  -16.0456282051  -16.1596011015
 125.372  -15.8812838284         -15.856  -16.0521720085  -16.1692409092
 125.872  -15.8866468647         -15.856   -16.058715812  -16.1788807169
 126.372   -15.892009901         -15.856  -16.0652596154  -16.1885205246
 126.872  -15.8973066667         -15.856  -16.0718034188  -16.1981603323
 127.372  -15.9024108333         -15.856  -16.0783472222    -16.20780014
 127.872      -15.907515         -15.856  -16.0848910256  -16.2174399477
 128.372  -15.9126191667         -15.856  -16.0914348291  -16.2270797554
 128.872  -15.9177233333         -15.856  -16.0964949495    -16.23453392
 129.372     -15.9228275         -15.856  -16.1005984848    -16.24057892
 129.872  -15.9279316667         -15.856  -16.1047020202    -16.24662392
 130.372  -15.9330358333         -15.856  -16.1088055556    -16.25266892
 130.872       -15.93814         -15.856  -16.1129090909    -16.25871392
 131.372  -15.9432441667         -15.856  -16.1170126263    -16.26475892
 131.872  -15.9467446809         -15.856  -16.1211161616    -16.27080392
 132.372  -15.9494042553         -15.856   -16.125219697    -16.27684892
 132.872  -15.9520638298         -15.856  -16.1293232323    -16.28289392
 133.372  -15.9547234043         -15.856       -16.13391  -16.2896507792
 133.872  -15.9573829787         -15.856       -16.14266  -16.3025405792
 134.372  -15.9600425532         -15.856       -16.15141  -16.3154303792
 134.872  -15.9627021277         -15.856       -16.16016  -16.3283201792
 135.372  -15.9653617021         -15.856       -16.16891  -16.3412099792
