time,band,flux,fluxerr,zp,zpsys,mag
11.200000000000003,desr,71477402959.96953,267353.03389501985,50.0,ab,0.181640319533237
11.299999999999997,desr,71209955434.53438,266851.8974410295,50.0,ab,0.18571044606104792
11.399999999999999,desr,70940732446.55075,266347.4320991391,50.0,ab,0.1898230606260647
11.5,desr,70670392229.25339,265839.66791264404,50.0,ab,0.19396847672611628
11.600000000000001,desr,70398927717.14081,265328.6350310225,50.0,ab,0.19814712043167404
11.700000000000003,desr,70126994022.62308,264814.363714692,50.0,ab,0.20234917258422414
11.799999999999997,desr,69852854161.79945,264296.884339808,50.0,ab,0.20660184118552039
11.899999999999999,desr,69577953406.3123,263776.22740310204,50.0,ab,0.21088310577674463
12.0,desr,69301797939.22469,263252.42352676776,50.0,ab,0.21520097617940692
12.100000000000001,desr,69024934498.32515,262725.5034633876,50.0,ab,0.21954722303526353
12.200000000000003,desr,68746355661.01878,262195.49810090975,50.0,ab,0.2239380295874156
12.300000000000004,desr,68466922963.237274,261662.43846767096,50.0,ab,0.22836020533062396
12.399999999999999,desr,68186851581.13966,261126.1888060543,50.0,ab,0.23281063586188466
12.5,desr,67905781041.89219,260586.59182800323,50.0,ab,0.23729535907667554
12.600000000000001,desr,67622719468.722755,260043.64627036382,50.0,ab,0.2418306508253849
12.700000000000003,desr,67338685650.158745,259497.35072981173,50.0,ab,0.24640064259772032
12.800000000000004,desr,67053983100.403885,258947.70366120097,50.0,ab,0.2510007793632063
12.899999999999999,desr,66767966258.96059,258394.70337586562,50.0,ab,0.25564186125243893
13.0,desr,66480724653.83035,257838.3480398688,50.0,ab,0.26032286924055015
13.100000000000001,desr,66191859333.7016,257278.63567220376,50.0,ab,0.26505077944676003
13.200000000000003,desr,65903118962.94935,256715.5641429408,50.0,ab,0.26979730921851797
13.300000000000004,desr,65612547347.07804,256149.1311713205,50.0,ab,0.2745949830717258
13.399999999999999,desr,65321001974.24095,255579.3343237928,50.0,ab,0.2794301363445584
13.5,desr,65028131971.50459,255006.17101199948,50.0,ab,0.2843090348950277
13.600000000000001,desr,64734007044.96101,254429.63849069734,50.0,ab,0.2892310041348267
13.700000000000003,desr,64439639235.52351,253849.73385562398,50.0,ab,0.294179480092307
13.800000000000004,desr,64143248156.378845,253265.35982891003,50.0,ab,0.29918485991955635
13.899999999999999,desr,63845295935.10221,252675.71731997243,50.0,ab,0.304239970134514
14.0,desr,63544515023.841,252081.25345423486,50.0,ab,0.3093670572924978
14.100000000000001,desr,63243300009.61103,251482.41928960956,50.0,ab,0.31452592309626937
14.200000000000003,desr,62940535830.31168,250879.66994568188,50.0,ab,0.3197361413402895
14.300000000000004,desr,62636916668.42992,250273.46472759923,50.0,ab,0.3249863029306006
14.399999999999999,desr,62332288406.33981,249664.26724436157,50.0,ab,0.33027955238430806
14.5,desr,62027068413.49721,249052.54552117424,50.0,ab,0.33560909204301126
14.600000000000001,desr,61722022579.88832,248438.77210551454,50.0,ab,0.34096185825464786
14.700000000000003,desr,61415910110.8118,247823.42416652746,50.0,ab,0.34636000109795617
14.800000000000004,desr,61111386287.230606,247206.98358735343,50.0,ab,0.3517568919290923
14.899999999999999,desr,60807103163.85815,246589.93704996022,50.0,ab,0.3571764454519446
15.0,desr,60502633858.92678,245972.77611203102,50.0,ab,0.36262652802321327
15.100000000000001,desr,60199158093.61987,245355.99727544302,50.0,ab,0.36808618714896113
15.200000000000003,desr,59896731868.55296,244738.27875181727,50.0,ab,0.3735544141799245
15.300000000000004,desr,59593669940.77019,244118.13002116673,50.0,ab,0.3790619027790605
15.399999999999999,desr,59290495951.468956,243495.80006643388,50.0,ab,0.38459952316135926
15.5,desr,58987001198.81396,242871.54035902378,50.0,ab,0.3901714361971216
15.600000000000001,desr,58682900089.36409,242245.60491209358,50.0,ab,0.3957833100219652
15.700000000000003,desr,58379183904.73445,241618.2503323264,50.0,ab,0.40141718200301213
15.800000000000004,desr,58076244048.544,240989.7358700764,50.0,ab,0.4070659270624155
15.899999999999999,desr,57773177315.73528,240360.32346776332,50.0,ab,0.412746598938611
16.0,desr,57470596376.26121,239730.2778063898,50.0,ab,0.41844797134669776
16.1,desr,57168772113.946976,239099.86635004776,50.0,ab,0.42416506994146275
16.200000000000003,desr,56868140997.67115,238469.3593882698,50.0,ab,0.429889652174964
16.300000000000004,desr,56567181712.00197,237839.03007607983,50.0,ab,0.4356508763071716
16.4,desr,56267772212.061676,237209.15447158643,50.0,ab,0.4414129293910882
16.5,desr,55970011569.310936,236580.011570956,50.0,ab,0.4471737393028228
