time-rel	g	r	i
153.5	16.485171041369483	16.09889877555872	16.1299845577746
154.0	16.485538373751794	16.09876652401331	16.129700142653345
154.5	16.485905706134105	16.098634272467898	16.129415727532088
155.0	16.486273038516416	16.09850202092249	16.129131312410834
155.5	16.486640370898726	16.098369769377076	16.128846897289577
156.0	16.487007703281037	16.098237517831663	16.128562482168324
156.5	16.487375035663348	16.098105266286254	16.128278067047066
157.0	16.48774236804566	16.09797301474084	16.127993651925813
157.5	16.48810970042797	16.09784076319543	16.127709236804556
158.0	16.48847703281028	16.09770851165002	16.127424821683302
158.5	16.48884436519259	16.097576260104606	16.127140406562045
159.0	16.489211697574902	16.097444008559197	16.12685599144079
159.5	16.489579029957213	16.097311757013784	16.126571576319535
160.0	16.489946362339523	16.09717950546837	16.12628716119828
160.5	16.490313694721838	16.097047253922963	16.126002746077024
161.0	16.49068102710415	16.09691500237755	16.12571833095577
161.5	16.49104835948646	16.09678275083214	16.125433915834513
162.0	16.49141569186877	16.096650499286728	16.12514950071326
162.5	16.49178302425108	16.096518247741315	16.124865085592003
163.0	16.492150356633392	16.096385996195906	16.12458067047075
163.5	16.492517689015703	16.096253744650493	16.124296255349492
164.0	16.492885021398013	16.096121493105084	16.12401184022824
164.5	16.493252353780324	16.09598924155967	16.12372742510698
165.0	16.493619686162635	16.09585699001426	16.123443009985728
165.5	16.493987018544946	16.09572473846885	16.12315859486447
166.0	16.494354350927257	16.095592486923437	16.122874179743217
166.5	16.494721683309567	16.095460235378027	16.12258976462196
167.0	16.495089015691878	16.095327983832615	16.122305349500706
167.5	16.49545634807419	16.095195732287202	16.12202093437945
168.0	16.495823680456503	16.095063480741793	16.121736519258192
168.5	16.49643953423123	16.09509812008979	16.12157920875421
169.0	16.497284792368152	16.09528681257015	16.121539225589224
169.5	16.498130050505075	16.09547550505051	16.121499242424242
170.0	16.498975308642002	16.09566419753087	16.121459259259257
170.5	16.499820566778926	16.09585289001123	16.121419276094276
171.0	16.500665824915853	16.096041582491587	16.12137929292929
171.5	16.501511083052776	16.096230274971948	16.12133930976431
172.0	16.5023563411897	16.096418967452305	16.121299326599328
172.5	16.503201599326626	16.096607659932666	16.121259343434343
173.0	16.50404685746355	16.096796352413023	16.12121936026936
173.5	16.504892115600477	16.096985044893383	16.121179377104376
174.0	16.5057373737374	16.097173737373744	16.121139393939394
174.5	16.506582631874323	16.0973624298541	16.12109941077441
175.0	16.50742789001125	16.097551122334462	16.121059427609428
175.5	16.508273148148174	16.09773981481482	16.121019444444443
176.0	16.509118406285097	16.09792850729518	16.12097946127946
176.5	16.509963664422024	16.098117199775537	16.120939478114476
177.0	16.510808922558947	16.098305892255897	16.120899494949494
177.5	16.511654180695874	16.098494584736258	16.120859511784513
178.0	16.512499438832798	16.098683277216615	16.120819528619528
178.5	16.51334469696972	16.098871969696976	16.120779545454546
179.0	16.514189955106648	16.099060662177333	16.12073956228956
179.5	16.51503521324357	16.099249354657694	16.12069957912458
180.0	16.515880471380495	16.09943804713805	16.120659595959594
180.5	16.51672572951742	16.09962673961841	16.120619612794613
181.0	16.517570987654345	16.09981543209877	16.120579629629628
181.5	16.518416245791272	16.10000412457913	16.120539646464646
182.0	16.519261503928195	16.10019281705949	16.12049966329966
182.5	16.52010676206512	16.100381509539847	16.12045968013468
183.0	16.520952020202046	16.100570202020208	16.120419696969698
183.5	16.52179727833897	16.100758894500565	16.120379713804713
184.0	16.522642536475892	16.100947586980926	16.12033973063973
184.5	16.52348779461282	16.101136279461283	16.120299747474746
185.0	16.524333052749743	16.101324971941644	16.120259764309765
185.5	16.52517831088667	16.101513664422004	16.12021978114478
186.0	16.526023569023593	16.10170235690236	16.120179797979798
186.5	16.526868827160516	16.101891049382722	16.120139814814813
187.0	16.527714085297443	16.10207974186308	16.12009983164983
187.5	16.528559343434367	16.10226843434344	16.120059848484846
188.0	16.529404601571294	16.102457126823797	16.120019865319865
188.5	16.530249859708217	16.102645819304158	16.119979882154883
189.0	16.53109511784514	16.102834511784515	16.119939898989898
